ap,lat,lon
KDTW,42.2124444,-83.3533889
KHOT,34.4780278,-93.0962222
KOKZ,32.9663744,-82.8374881
KPSF,42.4276201,-73.2908398
KBFF,41.8740278,-103.5956389
KGAO,29.4411111,-90.2611111
KOTH,43.4169444,-124.2470278
KTWF,42.4818056,-114.48775
KWWD,39.0083694,-74.9085111
KSUN,43.5037806,-114.2955583
KRBD,32.6813056,-96.8687778
KTVR,32.3516111,-91.0276887
KSEZ,34.8485892,-111.7884475
KGVT,33.0678333,-96.0653333
KGTR,33.4482778,-88.5913889
KMDD,32.0365704,-102.1015276
KELP,31.8073333,-106.3763611
KDLZ,40.2795421,-83.1133836
KDSM,41.5339728,-93.6630719
KPEO,42.6370833,-77.0528611
KLWC,39.0111111,-95.2164722
KLFT,30.2050278,-91.98775
KVPZ,41.4539722,-87.0070833
KGLR,45.0130278,-84.7034444
KEAR,40.7270406,-99.00677
KIFP,35.1546111,-114.5593333
KBAK,39.261915,-85.8963389
KLWB,37.8583067,-80.3994825
KBBG,36.5320825,-93.2005444
KBRL,40.7829769,-91.1255864
KSAC,38.5128611,-121.4933003
KGTU,30.6788056,-97.6793889
KVQQ,30.2187778,-81.8771667
KTRK,39.3200556,-120.1395833
KHBG,31.2649444,-89.2528889
KCSG,32.5163333,-84.9388611
KIMS,38.7599167,-85.4646944
KOQU,41.5971389,-71.4121389
KGMU,34.8479444,-82.35
KMQY,36.0089703,-86.5200897
KABI,32.4113333,-99.6818889
KBFM,30.6267778,-88.0680833
KOXI,41.3297008,-86.66461
KBGE,30.9715981,-84.6369278
KHUM,29.5665021,-90.6604267
KLNS,40.1223611,-76.2943611
KAND,34.4945833,-82.7093889
KUVA,29.2113333,-99.7435833
KAOO,40.2963611,-78.3200278
KGSH,41.5261334,-85.7942702
KDED,29.0670278,-81.28375
KCLL,30.5880419,-96.3625444
KAEX,31.3273717,-92.5485561
KHON,44.3851944,-98.2285556
KHDC,30.5216874,-90.4183808
KIDA,43.5137222,-112.07075
KSBD,34.0953611,-117.2348889
KEKX,37.686,-85.9250278
KHOB,32.6875,-103.2173333
KISW,44.360355,-89.8390394
KOLM,46.9694044,-122.9025447
KRDM,44.2540689,-121.1499714
KMWO,39.53175,-84.3964444
KMFD,40.8214167,-82.5166389
KHZL,40.9867725,-75.9947031
KAXN,45.8663056,-95.3946667
KENW,42.5960633,-87.9273239
KGYY,41.61725,-87.4145278
KSVC,32.6365469,-108.1563853
KHRF,46.2514944,-114.1255403
KFOE,38.9509492,-95.6636136
KGFL,43.3412222,-73.6103056
KBWG,36.9645278,-86.4196667
KFFT,38.1817317,-84.9067498
KRHP,35.1952297,-83.8630386
KCWA,44.7776237,-89.666778
KONX,36.3999444,-76.0154444
KMSO,46.9163056,-114.0905556
KPHN,42.9109722,-82.5288611
KCNI,34.3122192,-84.4221528
KSWO,36.1613889,-97.0858889
KEMP,38.3305556,-96.1899444
KPUB,38.2899475,-104.4980281
KDAN,36.5724722,-79.33625
KLRD,27.5441944,-99.4615833
KFHU,31.5884722,-110.3443889
KEQY,35.0174161,-80.6220558
KSDM,32.5722778,-116.9801667
KFYV,36.0050833,-94.1700556
KJWY,32.4582931,-96.9125264
KLRU,32.2894167,-106.9219722
KJBR,35.8317111,-90.6464219
KHDO,29.3591306,-99.1774917
KWVL,44.53325,-69.6755278
KRAP,44.0453333,-103.0573611
KDZB,30.5270514,-98.3587569
KAUG,44.3206497,-69.7973181
KBXM,43.8923551,-69.9388297
KBJI,47.5107222,-94.9347222
KMEV,39.0005,-119.7511111
KMOP,43.6216389,-84.7373056
KCLS,46.6770278,-122.98275
KBYG,44.3810833,-106.7218056
KCVC,33.6322475,-83.8466189
KARV,45.9279167,-89.7309444
KYNG,41.2615833,-80.6803611
KCPS,38.5703611,-90.1550833
KLSE,43.8792778,-91.2566389
KCRW,38.3760126,-81.5928929
KLHQ,39.7556384,-82.657096
KRKS,41.5942222,-109.0651944
KANE,45.1448889,-93.2101944
KALX,32.91475,-85.9629444
KGON,41.3300556,-72.0451389
KTVL,38.8938889,-119.9953333
KLUG,35.5069742,-86.8038875
KMMV,45.1945556,-123.1360556
KHIO,45.5421217,-122.9507219
KPHT,36.3359444,-88.3844444
KPSO,37.2862486,-107.0560089
KSFM,43.3938056,-70.708
KEEO,40.0488056,-107.8859167
KGUC,38.5343333,-106.93175
KCDC,37.70097,-113.0988503
KOZW,42.6294278,-83.9821931
KSBM,43.7697778,-87.8517222
KCKV,36.6218611,-87.4149444
KBKW,37.7873333,-81.1241667
KRKP,28.0862222,-97.0436944
KLEW,44.0484728,-70.2835075
KPXE,32.5105833,-83.7673333
KSRR,33.4609444,-105.5301389
KLWM,42.7170422,-71.1235333
KSLK,44.3853081,-74.2061814
KFIN,29.4651511,-81.2076489
KMGW,39.6435954,-79.917547
KAUW,44.9262845,-89.6270018
KSAA,41.4435278,-106.8275278
KMDT,40.1931907,-76.7626206
KIWA,33.3078239,-111.6554592
KFAR,46.9206389,-96.81575
KDEC,39.8345625,-88.8656892
KDMO,38.7074167,-93.1759167
KONT,34.0560142,-117.6011875
KMJX,39.9260417,-74.2955347
KCPR,42.9058611,-106.4636389
KSSF,29.3369814,-98.4710444
KSMX,34.8999444,-120.4580833
KSPA,34.9164167,-81.9557778
KALS,37.435125,-105.8678753
KSCK,37.8944103,-121.23874
KEFD,29.6073333,-95.15875
KGGG,32.384,-94.7115
KMKG,43.1676717,-86.2354387
KCNY,38.7574987,-109.7535419
KJER,42.7266944,-114.4566389
KCXP,39.1923056,-119.7325833
KDPL,35.0000278,-77.9816667
KAFO,42.7087706,-110.9421711
KAKR,41.0375,-81.4669167
KPIB,31.4671389,-89.3370556
KCKB,39.2976547,-80.2275319
KAUO,32.6151111,-85.434
KELM,42.1598561,-76.8917457
KCEW,30.7788311,-86.5221128
KANK,38.5382778,-106.0486111
KMLI,41.4482778,-90.5075278
KPWT,47.49025,-122.7648056
KIMM,26.4337122,-81.4004782
KRAC,42.7611667,-87.8139167
KMBL,44.2724722,-86.2468889
KGKY,32.6638611,-97.0942778
KMWL,32.7816056,-98.060175
KPQI,46.6889639,-68.0447914
KSCH,42.8525556,-73.9289722
KHNB,38.2490278,-86.9536944
KUKF,36.2236021,-81.0986063
KLOT,41.6080969,-88.0963897
KGNV,29.6900556,-82.2717778
KADM,34.3038734,-97.0205974
KCWI,41.83075,-90.3289722
KMTO,39.4778889,-88.2799722
KSLN,38.7906111,-97.6522222
KIER,31.73572,-93.0991364
KERI,42.0830833,-80.1739444
KULM,44.3183867,-94.5016433
KAEJ,38.8141944,-106.1206111
KCPT,32.35375,-97.43375
KMFR,42.3749647,-122.8732875
KEYF,34.6018042,-78.5792708
KPMP,26.2474008,-80.1112081
KRHI,45.6308997,-89.4666282
KCGI,37.2253056,-89.57075
KCEZ,37.303,-108.6280556
KGAD,33.9726489,-86.0890834
KMYL,44.8887222,-116.10175
KART,43.9918333,-76.0194167
KMCK,40.2062778,-100.5920833
KECG,36.2605833,-76.1745556
KEVB,29.0556944,-80.9489167
KBIL,45.8078491,-108.5435436
KBAZ,29.70575,-98.0432222
KDLN,45.2553611,-112.5525
KVGT,36.2107031,-115.1944428
KSKX,36.4516944,-105.6730833
KRUQ,35.6458833,-80.5202917
KPKD,46.9012038,-95.0731062
KFLD,43.7711667,-88.4884167
KLAR,41.3120556,-105.675
KDLH,46.8420698,-92.1932372
KBLH,33.6191667,-114.7168889
KDDC,37.7631111,-99.9654167
KOWB,37.7388342,-87.1668286
KHYR,46.0252661,-91.444265
KLOZ,37.0868889,-84.0773889
KDNN,34.7229389,-84.8702414
KLGU,41.7917782,-111.851649
KSHV,32.4465278,-93.8260278
KFDY,41.0120278,-83.6686111
KVIS,36.3186389,-119.3928611
KAVC,36.6882778,-78.0544722
KMWA,37.7549722,-89.0110833
KEGV,45.9323333,-89.2682778
KGLY,38.3547003,-93.6791869
KSBP,35.2372778,-120.6426111
KCNM,32.3374444,-104.2633611
KSNS,36.6627865,-121.6063664
KGYR,33.4232778,-112.3753611
KSAW,46.3491583,-87.3963717
KCOD,44.5201944,-109.0238056
KJST,40.3155556,-78.8346667
KHRO,36.2615206,-93.1547289
KABY,31.5355278,-84.1944722
